kartas_nr,datums,pr_partneris,pr_pvn_nr,pr_datums,pr_numurs,darijuma_apraksts,vertiba_bez_pvn,dabas_resursi,atlaides,pvn_summa,kopeja_summa,due_date,client_reg_no,client_address,doc_type,items_json,comments,created_at
1,02.06.2026,"Bratus, SIA",LV40203628316,02.06.2026,LSEO 0002,SEO pakalpojumu sniegšana ,"400,00",,"0,00","0,00","400,00",16.06.2026,40203628316,"Ķekavas nov., Ķekava, Dārznieku iela 42, LV-2123",Pavadzīme,"[{""seq"": 1, ""name"": ""SEO pakalpojumu sniegšana "", ""unit"": ""gab"", ""qty"": ""1.0"", ""price"": ""400,00"", ""total"": ""400,00"", ""raw_qty"": 1.0, ""raw_price"": 400.0}]",,2026-06-02 15:06:17
2,03.06.2026,sia kaktus,,03.06.2026,BR 0003,Lāzeriekārta; modeļa nr.: KH7050; 80W,"4 505,00",,"0,00","946,05","5 451,05",17.06.2026,,karklu iela ,Pavadzīme,"[{""seq"": 1, ""name"": ""Lāzeriekārta; modeļa nr.: KH7050; 80W"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""4 505,00"", ""total"": ""4 505,00"", ""raw_qty"": 1.0, ""raw_price"": 4505.0}]",,2026-06-03 08:33:37
3,03.06.2026,"TRIIIS, SIA",LV40203733036,03.06.2026,BR 0004,Lāzergriešana gumija ruļļu materiāla; Griešanas testēšana; Omniva pakomāts,"88,00",,"0,00","18,48","106,48",17.06.2026,40203733036,"Ropažu nov., Garkalnes pag., Baltezers, Senču prospekts 1D, LV-2164",Rēķins,"[{""seq"": 1, ""name"": ""Lāzergriešana gumija ruļļu materiāla"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""75,00"", ""total"": ""75,00"", ""raw_qty"": 1.0, ""raw_price"": 75.0}, {""seq"": 2, ""name"": ""Griešanas testēšana"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""10,00"", ""total"": ""10,00"", ""raw_qty"": 1.0, ""raw_price"": 10.0}, {""seq"": 3, ""name"": ""Omniva pakomāts"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""3,00"", ""total"": ""3,00"", ""raw_qty"": 1.0, ""raw_price"": 3.0}]",,2026-06-03 13:15:50
4,03.06.2026,"TRIIIS, SIA",LV40203733036,03.06.2026,BR 0092,Lāzergriešana gumija ruļļu materiāla; Griešanas testēšana; Omniva pakomāts,"88,00",,"0,00","18,48","106,48",17.06.2026,40203733036,"Ropažu nov., Garkalnes pag., Baltezers, Senču prospekts 1D, LV-2164",Rēķins,"[{""seq"": 1, ""name"": ""Lāzergriešana gumija ruļļu materiāla"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""75,00"", ""total"": ""75,00"", ""raw_qty"": 1.0, ""raw_price"": 75.0}, {""seq"": 2, ""name"": ""Griešanas testēšana"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""10,00"", ""total"": ""10,00"", ""raw_qty"": 1.0, ""raw_price"": 10.0}, {""seq"": 3, ""name"": ""Omniva pakomāts"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""3,00"", ""total"": ""3,00"", ""raw_qty"": 1.0, ""raw_price"": 3.0}]",,2026-06-03 13:16:24
5,04.06.2026,"Omega Properties, SIA",LV40203352546,04.06.2026,BR 0093,TESTS,"4 505,00",,"0,00","946,05","5 451,05",18.06.2026,40203352546,"Ādažu nov., Carnikavas pag., Garciems, Briežu iela 10, LV-2163",Pavadzīme,"[{""seq"": 1, ""name"": ""TESTS"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""4 505,00"", ""total"": ""4 505,00"", ""raw_qty"": 1.0, ""raw_price"": 4505.0}]",,2026-06-04 08:24:29
6,09.06.2026,"LATTIMS, SIA",LV40003901631,09.06.2026,BR 0094,"CO2 tipa lāzeriekārtas apkope un regulācija; Lēca CO2 tipa lāzeriekārtai 50.8 fokusa attālums; 20mm diametrs; Testēšana un testa failu izstrāde, iestatījumu pielāgošana; Izbraukuma serviss Salaspilī 8.jūnijs; Izbraukuma serviss Salaspilī 5.jūnijs","310,00",,"0,00","65,10","375,10",23.06.2026,40003901631,"Salaspils nov., Salaspils, Skolas iela 13 - 48, LV-2121",Rēķins,"[{""seq"": 1, ""name"": ""CO2 tipa lāzeriekārtas apkope un regulācija"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""160,00"", ""total"": ""160,00"", ""raw_qty"": 1.0, ""raw_price"": 160.0}, {""seq"": 2, ""name"": ""Lēca CO2 tipa lāzeriekārtai 50.8 fokusa attālums; 20mm diametrs"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""45,00"", ""total"": ""45,00"", ""raw_qty"": 1.0, ""raw_price"": 45.0}, {""seq"": 3, ""name"": ""Testēšana un testa failu izstrāde, iestatījumu pielāgošana"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""65,00"", ""total"": ""65,00"", ""raw_qty"": 1.0, ""raw_price"": 65.0}, {""seq"": 4, ""name"": ""Izbraukuma serviss Salaspilī 8.jūnijs"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""20,00"", ""total"": ""20,00"", ""raw_qty"": 1.0, ""raw_price"": 20.0}, {""seq"": 5, ""name"": ""Izbraukuma serviss Salaspilī 5.jūnijs"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""20,00"", ""total"": ""20,00"", ""raw_qty"": 1.0, ""raw_price"": 20.0}]",,2026-06-09 12:55:58
7,11.06.2026,"Latvijas valsts meži, Akciju sabiedrība ",LV40003466281,11.06.2026,BR 0095,Lāzergravētājs | KH90140,"5 041,32",,"0,00","1 058,68","6 100,00",25.06.2026,40003466281,"Rīga, Vaiņodes iela 1, LV-1004 ",Avansa rēķins,"[{""seq"": 1, ""name"": ""Lāzergravētājs | KH90140"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""5 041,32"", ""total"": ""5 041,32"", ""raw_qty"": 1.0, ""raw_price"": 5041.32}]",,2026-06-11 13:23:50
8,15.06.2026,"Akciju sabiedrība ""Sadales tīkls""",LV40003857687,15.06.2026,BR 0096,Logo gravēšana uz akrila loksnes,"35,00",,"0,00","7,35","42,35",29.06.2026,40003857687,"Rīga, Šmerļa iela 1, LV-1006",Rēķins,"[{""seq"": 1, ""name"": ""Logo gravēšana uz akrila loksnes"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""35,00"", ""total"": ""35,00"", ""raw_qty"": 1.0, ""raw_price"": 35.0}]",,2026-06-15 09:36:36
9,11.06.2026,"Latvijas valsts meži, Akciju sabiedrība ",LV40003466281,11.06.2026,BR 0097,Lāzergravētājs | KH90140,"3 050,00",,"0,00","640,50","3 690,50",25.06.2026,40003466281,"Rīga, Vaiņodes iela 1, LV-1004 ",Avansa rēķins,"[{""seq"": 1, ""name"": ""Lāzergravētājs | KH90140"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""3 050,00"", ""total"": ""3 050,00"", ""raw_qty"": 1.0, ""raw_price"": 3050.0}]",,2026-06-15 09:39:59
10,18.06.2026,,,18.06.2026,BR 0098,Lāzeriekārta; modeļa nr.: KH7050; 80W,"4 505,00",,"0,00","946,05","5 451,05",02.07.2026,,,Pavadzīme,"[{""seq"": 1, ""name"": ""Lāzeriekārta; modeļa nr.: KH7050; 80W"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""4 505,00"", ""total"": ""4 505,00"", ""raw_qty"": 1.0, ""raw_price"": 4505.0}]",,2026-06-18 09:26:25
11,29.06.2026,Rīgas Būvniecības koledža,,29.06.2026,BR 0099,Plotergriešanas iekārta,"950,41",,"0,00","199,59","1 150,00",13.07.2026,Reģ. Nr. 90000025357,"Gaiziņa iela 3, Rīga LV-1050",Pavadzīme,"[{""seq"": 1, ""name"": ""Plotergriešanas iekārta"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""950,41"", ""total"": ""950,41"", ""raw_qty"": 1.0, ""raw_price"": 950.41}]",,2026-07-22 12:25:13
12,30.06.2026,Latvijas valsts meži,LV40003466281,30.06.2026,BR 0100,Lāzeriekārta 14090,"5 041,32",,"0,00","1 058,68","6 100,00",14.07.2026,40003466281,"Rīga, Vaiņodes iela 1, LV-1004",Pavadzīme,"[{""seq"": 1, ""name"": ""Lāzeriekārta 14090"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""5 041,32"", ""total"": ""5 041,32"", ""raw_qty"": 1.0, ""raw_price"": 5041.32}]",Ar avansa rēķinu BR0097 apmaksāts 3050.00 EUR. Atlikusī summa apmaksai - 3050.00 EUR.,2026-08-19 09:27:42
