NOSAUKUMS,Mērvienība,CENA (EUR)
3D tehniskā modelēšana un prototipēšana - MODELING,stundas,40
3D modeļu kopsalikuma izveide, apstrāde - ASSEMBLY,stundas,25
Modeļu sagatavošana un optimizācija drukai 3D drukāšanas programmā - SLICING,stundas,20
3D printēšana,stundas,3
CNC frēzēšana,stundas,55
Failu sagatavošana CNC frēzēšanai - 2D rasējuma programmas iestatīšana,stundas,25
Metālu/kompozītu marķēšana ar šķiedru lāzeri,stundas,45
CO2 lāzergravēšana,stundas,40
2D tehniskā rasēšana - vektorfaila izstrāde / apstrāde,stundas,30
Filalab PLA+ 3D drukas materiāls (dažādas krāsas),kg,15.5
Filalab PETG 3D drukas materiāls (dažādas krāsas),kg,17.5
